Time,Metric,Symbol,Value
2009-02-01,transactions_count,btc,1.0
2009-02-01,transactions_mean,btc,271.0
2009-02-01,transactions_rate,btc,1.1574074074e-05
2009-02-01,transactions_sum,btc,271.0
2009-02-01,transfers_mean,btc,100.0
2009-02-01,transfers_sum,btc,100.0
2009-02-02,active_addresses,btc,2.0
2009-02-02,addresses,btc,2812.0
2009-02-02,non_zero_addresses,btc,129.0
2009-02-02,supply,btc,139250.0
2009-02-02,transactions_count,btc,1.0
2009-02-02,transactions_mean,btc,159.0
2009-02-02,transactions_rate,btc,1.1574074074e-05
2009-02-02,transactions_sum,btc,159.0
2009-02-02,transfers_mean,btc,50.0
2009-02-02,transfers_sum,btc,50.0
2009-02-03,active_addresses,btc,15.0
2009-02-03,addresses,btc,2961.0
2009-02-03,non_zero_addresses,btc,149.0
2009-02-03,supply,btc,146200.0
2009-02-03,transactions_count,btc,16.0
2009-02-03,transactions_mean,btc,283.25
2009-02-03,transactions_rate,btc,0.00018518518518500002
2009-02-03,transactions_sum,btc,4532.0
2009-02-03,transfers_mean,btc,45.906875
2009-02-03,transfers_sum,btc,734.51
2009-02-04,active_addresses,btc,0.0
2009-02-04,addresses,btc,3080.0
2009-02-04,non_zero_addresses,btc,119.0
2009-02-04,supply,btc,152150.0
2009-02-04,transactions_count,btc,0.0
2009-02-04,transactions_rate,btc,0.0
2009-02-04,transfers_mean,btc,0.0
2009-02-04,transfers_sum,btc,0.0
2009-02-05,active_addresses,btc,0.0
2009-02-05,addresses,btc,3206.0
2009-02-05,non_zero_addresses,btc,126.0
2009-02-05,supply,btc,158450.0
2009-02-05,transactions_count,btc,0.0
2009-02-05,transactions_rate,btc,0.0
2009-02-05,transfers_mean,btc,0.0
2009-02-05,transfers_sum,btc,0.0
2009-02-06,active_addresses,btc,0.0
2009-02-06,addresses,btc,3328.0
2009-02-06,non_zero_addresses,btc,122.0
2009-02-06,supply,btc,164550.0
2009-02-06,transactions_count,btc,0.0
2009-02-06,transactions_rate,btc,0.0
2009-02-06,transfers_mean,btc,0.0
2009-02-06,transfers_sum,btc,0.0
2009-02-07,active_addresses,btc,27.0
2009-02-07,addresses,btc,3461.0
2009-02-07,non_zero_addresses,btc,133.0
2009-02-07,supply,btc,171000.0
2009-02-07,transactions_count,btc,4.0
2009-02-07,transactions_mean,btc,789.75
2009-02-07,transactions_rate,btc,4.6296296296e-05
2009-02-07,transactions_sum,btc,3159.0
2009-02-07,transfers_mean,btc,299.5
2009-02-07,transfers_sum,btc,1198.0
2009-02-08,active_addresses,btc,2.0
2009-02-08,addresses,btc,3594.0
2009-02-08,non_zero_addresses,btc,133.0
2009-02-08,supply,btc,177600.0
2009-02-08,transactions_count,btc,1.0
2009-02-08,transactions_mean,btc,224.0
2009-02-08,transactions_rate,btc,1.1574074074e-05
2009-02-08,transactions_sum,btc,224.0
2009-02-08,transfers_mean,btc,1000.0
2009-02-08,transfers_sum,btc,1000.0
2009-02-09,active_addresses,btc,45.0
2009-02-09,addresses,btc,3728.0
2009-02-09,non_zero_addresses,btc,134.0
2009-02-09,supply,btc,184300.0
2009-02-09,transactions_count,btc,1.0
2009-02-09,transactions_mean,btc,5055.0
2009-02-09,transactions_rate,btc,1.1574074074e-05
2009-02-09,transactions_sum,btc,5055.0
2009-02-09,transfers_mean,btc,2200.0
2009-02-09,transfers_sum,btc,2200.0
2009-02-10,active_addresses,btc,0.0
2009-02-10,addresses,btc,3848.0
2009-02-10,non_zero_addresses,btc,120.0
2009-02-10,supply,btc,190300.0
2009-02-10,transactions_count,btc,0.0
2009-02-10,transactions_rate,btc,0.0
2009-02-10,transfers_mean,btc,0.0
2009-02-10,transfers_sum,btc,0.0
2009-02-11,active_addresses,btc,16.0
2009-02-11,addresses,btc,3983.0
2009-02-11,non_zero_addresses,btc,135.0
2009-02-11,supply,btc,196950.0
2009-02-11,transactions_count,btc,2.0
2009-02-11,transactions_mean,btc,883.0
2009-02-11,transactions_rate,btc,2.3148148148e-05
2009-02-11,transactions_sum,btc,1766.0
2009-02-11,transfers_mean,btc,275.02
2009-02-11,transfers_sum,btc,550.04
2009-02-12,active_addresses,btc,0.0
2009-02-12,addresses,btc,4102.0
2009-02-12,non_zero_addresses,btc,119.0
2009-02-12,supply,btc,202900.0
2009-02-12,transactions_count,btc,0.0
2009-02-12,transactions_rate,btc,0.0
2009-02-12,transfers_mean,btc,0.0
2009-02-12,transfers_sum,btc,0.0
2009-02-13,active_addresses,btc,0.0
2009-02-13,addresses,btc,4226.0
2009-02-13,non_zero_addresses,btc,124.0
2009-02-13,supply,btc,209100.0
2009-02-13,transactions_count,btc,0.0
2009-02-13,transactions_rate,btc,0.0
2009-02-13,transfers_mean,btc,0.0
2009-02-13,transfers_sum,btc,0.0
2009-02-14,active_addresses,btc,0.0
2009-02-14,addresses,btc,4362.0
2009-02-14,non_zero_addresses,btc,136.0
2009-02-14,supply,btc,215900.0
